,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
664434,1,,True,"11 18, 2008",A1P0OVX2637TYW,B000TG4BA0,,TurboRabbit,"The mouse feels a bit cheap but that why I bought it over the mighty mouse.  Works well but does not feel as solid as my microsoft presenter mouse 8000.  I don't like how the batteries are installed in the unit and there is no instructions that tell you that you need to download drivers from the web site to get the back button to work on the MAC.  As you may have notice with the previous statement... there is no CD included.  Also if it matters to you the mouse wheel does not have the tilt left and right function, Go with the presenter 8000 for that.  For the money it would be hard to beat so it is a great buy.",nice value,1226966400,
2420389,1,,True,"10 29, 2014",A2CRXLGEGGL5RC,B006DUKW2C,{'Capacity:': ' 16GB'},Dr. Bob,"Works very well, is very secure, and is tough as nails.  Love it.",Love it.,1414540800,
4615727,0,,True,"07 22, 2018",ADRLB1JRNGCGE,B00NBEWB4U,"{'Size:': ' 1-Pack', 'Color:': ' Black'}",Adrian,Hurt and sound bad,One Star,1532217600,
6670527,1,,True,"08 24, 2016",AOG7U8OU62O0W,B015K0INFI,,Dan Champagne,Perfect fit for the perfect price. More than I expected. Quality made....Nice Case,Perfect for your Kindle,1471996800,
3335433,1,,True,"12 22, 2015",AU8Z8H6DK1K4S,B00CDS9EKE,"{'Size:': ' Large', 'Configuration:': ' 1-Pack', 'Style:': ' Gray Interior'}",Laura C.,"Great bag, fits my camera and a couple of lenses. Good value for the money. I go a Nikon D3200 for Christmas and it was the first thing I bought for it.",Very happy,1450742400,
6702709,1,,True,"11 13, 2017",A3W00RMLVG3DG0,B01B3JED7W,,Raymond Smith,The perfect Chromebook.....Perfect long battery life,Perfect Chromebook,1510531200,
5271861,0,,True,"09 28, 2016",AKX5WUTEMYSCN,B00Y3FYTNW,,George D.,there is no 6 foot cable included with the soundplus speker.  the cable included with the speaker is approximately 16 inches long.,there is no 6 foot cable included with the soundplus ...,1475020800,
2650545,1,,True,"02 13, 2013",A2LCWDAL2VEE68,B007P4VOWC,{'Style:': ' Wi-Fi'},Maria Senior,Excelent product  met all my expectation . . . . . . . . . . . . . . .,Excelent,1360713600,
4104651,1,,True,"06 20, 2016",A1ZY8YPCNF71SK,B00INEG8W4,{'Package Type:': ' Standard Packaging'},Poppy,"Heard better, but not at this price.",Valuye Buy,1466380800,
3166137,1,,True,"05 3, 2015",AFYCVCH0RJ4OF,B00BCGRXI8,{'Size:': ' 22-Inch'},Reina,So far so good great TV and fits perfectly in the spot where my old one used to go... no problems with picture or shutting off nothing...will update if I need to.,LOVE IT!,1430611200,
2943168,1,,True,"04 29, 2015",AAFS7SW3DXKUL,B009NLTW60,,Pat,Easy to install and works,Five Stars,1430265600,
3852887,1,,True,"07 18, 2016",AVHU8HZU9OI71,B00GDHAT3W,{'Color:': ' Black'},jstrat121,Perfect fit for my ipad air,Perfect,1468800000,
2595351,1,,True,"03 21, 2015",AR3JZIGWTCV5J,B007F85R30,,FrankoGreeno,"It is as advertised. I like it but my wife doesn't love it. The extra bulbous part of the battery that sticks out annoys her when it is on her lap. It is less of an issue when it is on a table. I probably should have gotten the normal sized one. It was a replacement for the battery in HER laptop after all. Woops!

Beside all that, it fits well and holds a charge. I am satisfied.","I like it, my wife not so much...",1426896000,
3845038,1,,True,"10 19, 2015",A330KP3CZGQMRO,B00GARWQX6,{'Color:': ' Pink'},Chris Dorn,"I love this cover.  It is nice an light/doesn't add unnecessary bulk to the iPad Air.  I like that the cover is smooth, rather than textured.  I've used mine for almost two years and am about to replace it with a new one.  The plastic back cover is showing some signs of hairline cracking at one corner now, and that's the reason I'm going to replace it.  The cracking that I see would probably not bother a lot of other people.",I love this cover,1445212800,
65731,1,,True,"11 2, 2014",A22MZRAR8C6IU,B00005N9D3,"{'Product Packaging:': ' Standard Packaging', 'Style:': ' UR-20'}",Alex Emeric,it is nice,Five Stars,1414886400,
688812,1,,True,"02 21, 2012",A2TSTRYQ5AA9U6,B000V0BIWI,{'Capacity:': ' 10ft'},Sherry,"Decent ethernet cable for the price. Didn't instantly break, which is always a good sign (yes, this does happen frequently with some cheaper cables, where the plastic part snaps instantly.) Blue is a nice change of pace. Does its job and is cheap-- I'm happy.",Good enough,1329782400,
3523233,1,,True,"06 24, 2017",A1KS0G80KBVIYU,B00DR8LA60,{'Platform for Display:': ' Windows'},J. Cissell,"Took about a week to adjust to it, but awesome mouse. Quiet for meetings fits in your front pocket or with your laptop in a sleeve. The touch works great, definitely the fastest mouse I've owned.",but awesome mouse. Quiet for meetings fits in your front ...,1498262400,
3484452,1,,True,"09 17, 2016",A1MTJQ2OULA6G6,B00DIH4F12,{'Size:': ' 10 Feet - 5 Pack'},rjltg6,came with extra attachment such as 90 deg. angle converter this company is awesome and my wife approved the purchase great product,great product,1474070400,
1297662,1,2,True,"08 17, 2014",AUFS7K5C29TWN,B001RD703E,,CenTX,"Great quality, well constructed mount.
This mount was absolutely rigid and quite strong, once assembled and mounted.
Definitely built to last, and take a load.",Superior quality product,1408233600,
4789407,1,,True,"07 5, 2015",ASALO16Q9RROM,B00PBC7GHW,,"Jeff K WPB,FL","I am an Open-Mesh convert. Simple set up with commercial reliability and super range (wall penetration excellent with metal studs). I'm using three units to cover 3000 sq ft+ and receiving 5 bars signal strength on all our attached devices (laptop, computer, three iPads, two Galaxy 4 Notes).",Open Mesh Rocks,1436054400,
5180770,0,,True,"01 11, 2018",A3HXSFYXYR10BC,B00WM6SLHE,{'Size:': ' 5800mAh / 63.5Wh'},Pavlos,"I let my laptop run out of juice once and the battery was destroyed afterwards. Laptop shuts down when battery level is a little after 50% and overall it drains super fast.

I would recommend to not be cheap and buy an original Apple Battery",Laptop shuts down when battery level is a little after 50% and overall it drains super fast. I would recommend to not be cheap ...,1515628800,
1152086,1,2,True,"05 22, 2012",A17OG0T7V49926,B001D8E89M,,Manleys Mom,"I am a career insurance agent and carry a ton of paperwork.  I travel all over Iowa and Nebraska by car. I needed a rolling bag that was durable, functional, somewhat lightweight, and a good value.  This is all that!  I have had this bag for  several months now. It has gone through snow, mud, rain, grass, and gravel.  I never have a problem with the wheels or becoming unbalanced.  The handle slides up/down very easily.  The pockets are well-sized and there's a variety of them.  The bag was designed to also be used as an over-nighter so there's space for a change of clothing. I use all the pockets for everything I carry, so I can't comment on the clothes section.  This is a very nice looking bag, and I've had several positive comments from clients and other agents.  I also thought the price I paid for it was reasonable compared to the brick & mortar prices for the same bag.  This was definitely a great buy!!!",Wenger Rolling Case,1337644800,
3740627,1,,True,"03 21, 2016",A3NPW5KQF6MVKR,B00FB1TBKS,{'Style:': ' Z-Wave'},KentChewy,"Excellent motion detector at a great price. It's fast; the detection seems to always be under one second of delay, as tested with my VeraLite Home Controller. Been using it for several months now, this thing is totally awesome. Reliable.","Excellent motion sensor, great for VeraLite",1458518400,
2464153,1,,True,"04 23, 2014",ALRTH1F08ADFV,B006P191F8,,David Nielson,"Highly recommended.  Good value and easy to setup with a laptop or right from your desktop.  After setup, take it to the intended location and viola!  You are ""wired"" through a wireless connection.","Works well, easy to setup.",1398211200,
3256909,1,,True,"12 16, 2016",A3W3656TRDP16L,B00BUSDVBQ,{'Format:': ' Personal Computers'},Sky,"Wireless range sucks compared to cheaper model, A5

Review is for C7",Four Stars,1481846400,
5997131,1,,True,"02 3, 2017",A34L5ICBBVSD5Y,B01EV70C78,,Towguyt,Excellent,Five Stars,1486080000,
829726,1,,True,"09 15, 2014",A8AGM72844L8V,B0014GHQE2,{'Style:': ' GPS Low Pro Mount'},Al,Delivery was fast and works great,Five Stars,1410739200,
4623330,0,3,True,"07 28, 2015",A1IV1VU2RNMSKM,B00ND5UOFU,,Orpheus,"Did not work, tried all ports, tried several cables and tried several Hdmi ports with no response from the device.","Did not work, tried all ports, tried several ...",1438041600,
6351652,0,,True,"01 19, 2014",A1696T3P3G9OHS,B006H9RJUM,,Dave,"This turntable does exactly what it's supposed to do, cheaply.  What you get are digital copies of your vinyl recordings, but every single pop, skip, and scratch comes through.  In all fairness, you can use their software to edit out the worst of it.  By the way, mine came with no manual nor any software.  However, both were easily dowmloaded from the manufacturer's website, and at least I got the newest versions.  Oh, and they had software for my Mac, which made me glad!

I didn't bother using the turntable to preserve any recording I could purchase via download or on a CD.  The sound I got using the turntable just wasn't as good.

ON the other hand- it was more than valuable in digitally preserving some recordings made on vinyl by my college band.  Such things are simply not available, and this turntable made it possible for me to keep and share some music that was irreplaceable.  Unfortunately, I doubt that I'll ever use it again.  Maybe I should sell it cheap!","IT WORKS, BUT--",1390089600,
6016678,1,,True,"07 8, 2017",A23KK9Z3HY2AIH,B01FD78EMA,{'Color:': ' Black'},Arthur Davis,Works Great,Purchased for IPad Pro 10.5 works great,1499472000,
682666,1,,True,"04 20, 2011",AW9QE82DIYZR4,B000UY3NR8,{'Color:': ' Blue'},TANWare,Well it works. pooling rate is much lower than a dongled wireless mouse and it has the BT wakeup issue with jumping after left idle for a few seconds. So in all good in a pinch but not every day for your desktop replacement.,Works,1303257600,
4936827,1,,True,"12 17, 2017",AGQJWCMZ963V,B00S7YA5FQ,,AllTech,Works great and keeps my CPU temps way down. I would highly recommend this over your stock cpu cooler.,H7 vs Stock cooler,1513468800,
5443587,0,,True,"10 9, 2017",A1UKOJWTYSYLDR,B012VIWG28,,happykins,"The hook itself does not stay in one place, even tightened. A slight bump moves it and I'm concerned about it scratching my nice bamboo desk. Furthermore, because there is no lip, the headphones fall of really easily (again, a slight bump).",useless if it has any chance of being bumped,1507507200,
5859441,1,,True,"09 30, 2017",A151VKJJV8GVUT,B01C442GB0,{'Color:': ' 2-black'},Dachi,"Great Backpack really liked it. I have been using it for 2 weeks now and it has been doing great for carrying heavy books to keeping my stuff organized and well protected. Also i like the material (Nylon) which they used. its sturdy and durable, i think its going to last for a long time. I also like the fact that its somewhat water resistant.( i have used it in heavy rain which no moisture or water inside ). Bottom Rubber feeds are nice edition and overall its really well put together
Also some features which i really liked are : extusbport, wellmadezippers, many pockets for good organization, hidden pockets and lots of breathable padding.
(UPDATE 1 : after 5 month backpack is still fine. Little paint scraped off from metal zippers but no big deal it still looks like new. Fabric has also held up really well, i use this backpack everyday for books and overall i have really enjoyed using it )",Great Backpack really liked it,1506729600,
2381232,1,,True,"03 10, 2014",A348XQP7Y5KV1L,B0062IPIPQ,{'Color:': ' Green'},GB,"My hot green puffy kindle jacket keeps it warm at night, and the price is definitely right.  I smash my silicone earplugs on the corners to store them when I wake up in the morning.  It's a nifty little system.",puffy jacket,1394409600,
3536627,1,,True,"08 1, 2013",A2TT2PYRIV4GWT,B00DUGZDJ4,{'Size:': ' Compact'},amazonshopper123,It fits our kodak sport  camera and the connecting wires fit perfectly in the front pocket zipper section.  Excellent quality and durability.  It is very small though.,great carrying case,1375315200,
4823203,0,,True,"04 1, 2016",A1KBMJ6V9WXT30,B00PVRI0OK,{'Color:': ' Blue'},Robert Ulrich,"Initial review - These things are fantastic. Always wanted to get a pair of these but I wanted them to be good quality. Found out about these on wirecutter.com. They reviewed many units and these were the best and at a really great price point. Highly Recommended!

Update  1 - These earbuds just stopped working after a few months. Won't charge, won't turn on. Prior to that, they worked great. Contacted the company and they were pleasant enough. I was a little annoyed that they do not send you a new replacement pair but rather a credit and you much purchase replacement pair on their website. So I did.

Update 2  - I ordered the new Jlab Fit 2 to replace them and guess what????? these new ones failed after only two weeks. Same problem  Won't charge, won't turn on. In my opinion their design is flawed.

BEWARE - DO NOT BUY!",Initial review - These things are fantastic. Always wanted to get a pair of these ...,1459468800,
4532233,1,,True,"12 12, 2015",A3NKH1O012LK8L,B00MCHE38O,"{'Color:': ' Black', 'Product Packaging:': ' Standard Packaging', 'Style:': ' Bluetooth Wireless'}",Edmond,"I am a bass lover. Of course, the the quality of an amplifier is an essential factor for having a good bass, this headphone can deliver an excellent bass and crisp sound with  a simple amplifier like iPhone or a regular sound card of a PC.",Perfet for bass lovers,1449878400,
1641198,1,,True,"08 19, 2012",A1EJC0CUMT5AXY,B003L1ZYYW,"{'Package Type:': ' Standard Packaging', 'Style:': ' 6.5-Feet/2-Pack'}",Dr. Not,"Got these a few days ago, hooked up my blu-ray to my hd tv (1080p) and the quality is great. Plus they have the ethernet feature which is just another plus and another reason to get these over the expensive ones..  Fully satisfied customer here!",Just as good as the more expensive ones,1345334400,
4468839,1,,True,"05 1, 2016",A1FRWCLV29MCNP,B00LULJIW4,,Ale,excellent,Five Stars,1462060800,
558268,1,,True,"05 7, 2017",AL2JA0PI7LSTI,B000JWXPPG,{'Capacity:': ' External USB Data Fax'},GuruOfAllThingsTrivial,"I bought this to use with PhoneTray, a program to reject telemarketers, scammers, etc.(phonetray dot com) since my old PCI-based modem would not work in my new computer (no PCI slot).  This one simply plugs into a USB port and hooks up to your phone line.  Installed the driver and it works like a champ.","Yes, you still need a fax/modem",1494115200,
5064196,1,,True,"03 30, 2017",A2O23OIZO4UEI,B00UFBZOKK,"{'Color:': ' Red', 'Capacity:': ' 16GB DR', 'Style:': ' 2400 MT/s'}",Troy Laureyns,Good price for a single channel build,Five Stars,1490832000,
4741320,1,,True,"03 4, 2017",A1P26ORFDB019P,B00OK7AMPM,,F. Hernandez,"fit right on , love the look , all the power I need.",love the look,1488585600,
4061,1,,True,"01 14, 2016",A1JDUYVUY5C29G,9983891212,,Chad,"I use this to connect my 60D to my laptop when I'm filming video for my blog so that I can see how bad I look and I can focus, etc. The only negative thing I have to say about this is that while the cable is HDMI the camera will only go standard def to the laptop or whatever device you're using. So for focusing and making sure everything is keyed in you should be good, if you need to view stuff in HD I think there are some apps for the camera you can get to update the firmware.",... for my blog so that I can see how bad I look and I can focus,1452729600,
1249620,1,,True,"11 28, 2016",A1SVPM2Y9TE5TQ,B001MSS6CS,{'Color:': ' Black'},Ani,This was a good find for me.  My Toshiba laptop has the audio jack on the right hand side..and I use a separate mouse so there way too much going on by my right had.  I plugged this into a hub on the left side of the computer...works great and solves my problem.,Helpful,1480291200,
1736953,0,,True,"11 17, 2013",AZTEJGQY15QB9,B0042A2V88,,Mr. Big,"These worked worse than expected. I should have heeded other's warnings. I had to bend out battery contacts to get them working out of the package, and even then, they only survived about a week. One of them didn't work for more than a couple hours. Avoid this Chinese garbage at all costs.",Avoid these.,1384646400,
2575370,1,,True,"03 23, 2015",A2UTQBD31N4DMD,B007B5WHTE,{'Style:': ' Non-Bluetooth'},AngryGames,"This unit sounds great. It is NOT (of course) a true home theater system, but as a soundbar + sub, it delivers killer sound for our bedroom.

The one, extremely annoying drawback to this unit is that the remote, no matter what, changes the video input of my Sceptre TV. So anytime I change to a different audio input or even raise/lower the volume, I have to grab the TV remote and switch it back to HDMI 1 or 2 =/.

Bought the unit refurbed, and would recommend it to anyone who doesn't own a Sceptre TV.",Excellent except for one flaw,1427068800,
1343336,1,,True,"02 28, 2015",A16PXS0GY1VUE4,B001UI2FPE,,Chris K,"I originally used this with Comcast services.  I moved to a different location and Time Warner became my cable provider.  Although this modem is not on their list of approved modems, it still works perfectly.",I originally used this with Comcast services. I moved ...,1425081600,
6276827,0,,True,"03 7, 2018",A2SRDIKSV3E0MG,B003ZVBP0U,,Loathsome Critic,"Cumbersome, had trouble getting raid set up. Inconvenient on/off button.",Two Stars,1520380800,
6524937,1,,True,"03 2, 2018",AROTQNRZ51CUU,B00J8H7H48,,Brendan A. MacWade,"I love this lens. I am a hobbyist photographer. I feel like I have no business owning a lens this good. It's so impressive. It is just as sharp as Panasonic's legendary 20mm ""pancake"" prime lens. But this brings so much more. It brings a wider angle, of course (the equivalent of 10mm in full frame). It brings a physical F-Stop dial. And it brings a focus mode switch. The auto-focusing is fast and almost completely silent. Whether you shoot in color or black & white, the sharpness is surreal. This lens re-affirms that we M43 users don't need more megapixels. We just need the sharpest glass. This is a lens that will deliver amazing images for a lifetime.",The Finest Prime I've Found For Micro Four Thirds,1519948800,
339655,1,7,True,"10 4, 2007",A225XHJGG9A2MM,B0007SM8OG,,kLoWn,This is a good radio for the price.  The armband is a little uncomfortable.  The digital tuning is nice and 10 presets are cool.  I mainly use it at the gym to tune into the TV's that they have.  It works good for that.,Good radio for the price,1191456000,
3342262,1,,True,"04 19, 2016",A24K4V8CCU4NX9,B00CFLBU88,"{'Size:': ' 6 Feet', 'Color:': ' Blue'}",Nbar,Use these daily to keep phone and  tablet charged.  Good length. A little stiff and bulky but otherwise very good,a necessity in our lifestyle,1461024000,
341848,1,3,True,"03 8, 2015",A2FD9B8CMYY78R,B0007U00XA,{'Style:': ' Pentax and Samsung SLR Camera'},Gerald C.,"If you buy this lens for Pentax, know that (1) HSM is not available in this lens for Pentax, and (2) your lens will not look like the illustration. They pulled a stock image from Sigma, and the Pentax version will not have the FA-style focus distance window. Rather, it will have a more conventionally marked barrel. Your lens will not even look like the image on the box, and the paper insert will imply that it has HSM. It doesn't. Now I rarely use auto-focus, so it's not an issue for me. But it might be fore you. The lens IS auto-focus, just in the usual camera motor Pentax way.

This lens was introduced in 2005, I think. Its successor, the 10-20mm f3.5 in 2009. This one is $270 less. What you get with the newer, more expensive lens is that the f3.5 uses fewer lenses in fewer groups. This produces the only significant performance difference, which is flare. If you include the sun in the image, this lens will flare throughout. The f3.5 will also flare, but less. Of course, if you try to include a strong point source in a 10mm image, just about anything out there will flare some. Shoot without the sun in the scene and let Photoshop be out friend.

As expected with a super-wide, there is some CA, but it's mostly simple purple fringe and very fixable. I always would rather have less complex CA than a tad more sharpness, because complex CA is likely not fixable, and it amounts to the same thing as being less sharp, especially in terms of practical viewable image quality.

I've been doing serious photography since 1967, and it's a small miracle that such a lens can be made today.. It's good enough that it is my only non-Pentax lens.",Great - But No HSM for Pentax - Don't Get Confused,1425772800,
3066467,1,,True,"04 12, 2015",A2SHGZL8JJA63K,B00ATE7TYC,{'Color:': ' Blue'},Brenda Lawton,"Our granddaughter loved this, but am not sure she uses it.",Four Stars,1428796800,
6116418,1,,True,"06 27, 2012",AT6UIUABL79MG,B00009R996,,dave j,"i got this for my 50mm lens, it is pretty confusing with the various lines and quality of filters made by various filter companies let a lone Hoya.  totally worth the extra money as i had a chance to try the lower priced filter and the build quality is noticeable. would recommend this line if one could not afford the high end version.",great addon for the 50mm,1340755200,
2019630,1,,True,"12 16, 2015",A21UYJC1QTB3PO,B004YDUZ22,{'Length:': ' 12 Feet'},Elizabeth,Great product!!! Highly recommended...,Five Stars,1450224000,
618585,1,,True,"09 26, 2014",A3EO2XNMNB6EWR,B000OT31IU,,J.Cyr,"Tucks away easily enough, hits hard enough, and rounds out the bottom end of most music. If you're looking to get a fuller sound from your car stereo, but you're not looking to give up half of your trunk, or you're trying to get a bit of bass in your truck cab, this won't disappoint, though the 10"" version has a bit more range to it.

This 8"" model struggles a bit with truly bass heavy music, but that's not a design flaw, it's a limitation of the 8"" speaker cone. If you're listening to something with blast-beats and heavy kick drum use it will be fine, but it might clip a bit for dub-step/rap. It certainly fills a space most car stereos don't out of the factory, but it's not without its limitations. If you're looking to buy an all in one unit, you're looking to make a compromise off the bat, these are cheaper and smaller units. They will give you some extra bass, they kick hard enough to feel it, and they fill out the sound at the low end. These aren't going to help you rattle the mirrors off your car, or help you share your music with the neighborhood by force.

If you're looking to get some extra bass in a small car/truck while still hearing the rest of the music this is what you're looking for. If you're trying to scare the neighbors when you leave the house it probably will fall a bit short.",Perfect for the right application,1411689600,
590594,1,,True,"08 15, 2008",ALFM9Q6LNP6H5,B000MXYPYW,,Ruben Giron,This is a very easy to use. Intructions are clear and it's great to have 2 alarms without having to reset the main alarm. Great to have the option of waking up to a CD too!,Sony ICF-CD815 AM/FM Stereo CD Clock Radio with Dual Alarm,1218758400,
2000468,1,,True,"02 5, 2013",A29F9DE7FM8X9V,B004WWNSMO,,K Series Girugiru,"Absolutely something that i didn't expected. The quality is excellent , good bass, and clear sound! what else you can ask for.",i bought this for 2004 honda civic lx,1360022400,
6596705,0,,True,"08 8, 2018",A108NN50G1CQ1S,B00R1ZEBUW,{'Size:': ' 4 Receivers'},VB,"After few days of carrying it with my keys, the red fob started beeping by itself arbitrarily  I replaced it with a green fob, assuming that there could be a problem with battery compartment.
This second fob didn't show any problem for about a week, and then also started beeping for no reason. It looks like after inserting a battery some sort of conducting substance accumulates in the battery compartment, and closes the electric circuit.  Returning this device to Amazon.",Few days after installing the battery fobs start beeping arbitrarily for no reason.,1533686400,
618481,1,,True,"03 10, 2015",A2Y4QMRYZ5J208,B000OSZA44,{'Package Type:': ' Standard Packaging'},bkeaAZ247!,Been working great for a long time. Decent base for a slim system. Great option for a truck with limited space.,Good system for tight space. Decent base,1425945600,
5843951,1,,True,"05 5, 2018",A2O61H4U5C2T02,B01BNPT1EG,,Benjamin F. Tucker,"These things are just like a home server except that they don't back up your computers automatically. They work like a cloud in your house and you can access it from anywhere.  It even provides a way to establish a VPN. it has many other features but I use it to store all my databases so that I can access them from any of my computers.  It can mirror your hard drives so that if one goes bad, you can replace it without losing anything.",These things are just like a home server except that they don't back up ...,1525478400,
3473287,0,,True,"08 7, 2016",A2IYNF4OC72LBH,B00DHBW6P6,{'Color:': ' USB Hub + card reader'},anjie,"made my computer crash everytime I used it ,  I have a imac",Two Stars,1470528000,
4321722,1,2,True,"10 5, 2015",A1O9LXP2OUEQ7L,B00KHRYR0U,"{'Capacity:': ' 240GB', 'Style:': ' Drive Only'}",Z.,"For a long time, I resisted the temptation of getting an SSD because they were expensive as well as occasionally unreliable.

Finally I decided to treat myself, and I can't believe it but it actually makes such a huge difference - mainly in game loading times and even when opening a file explorer.

I've been using this for a few months now and it's been great. Of course, I do wish I had more SSD storage, but this has served me well holding my OS and games.

This SanDisk is really fast and has given me no troubles that some of the older SSDs allegedly had a few years ago. The drive was easy to install and get running.","SSD changed my life, and this is a good one",1444003200,
4521723,1,2,True,"03 12, 2016",A366AH1KYPNDMZ,B00M9B3S0W,"{'Size:': ' 27""', 'Style:': ' One Monitor'}",SonnyandSam,Beautiful monitor. No dead pixels. Has worked flawlessly for months.,Five Stars,1457740800,
2877733,1,,True,"05 7, 2013",AVG1YUJ3OEZSH,B0099HJPME,,msmoviediva,Sturdy and beautiful display for K-cups. Keeps the cups well-organized and easily obtainable for myself and guests. The glass cover is just lovely sitting on the counter of my kitchen. Have received several compliments and a couple of my guests said they were going to purchase one as well. Great design!!,Beautiful Display of K-cups,1367884800,
6674653,1,,True,"06 25, 2018",A2HBOG4LVIY15L,B016A3AU3W,,Casch,"Fast and worked as described.

Not much more you can say. The attached heat sink is a bit fluncky. Others seem to be more functional.

Price/Performance is great though.",A Great Buy,1529884800,
5299936,1,,True,"11 18, 2015",A28GMU639N6M5M,B00YTXPY6Y,,mike b (FL),"Sounds great, nice weight and easy sync!",Lil With Great Sound!,1447804800,
3547631,1,,True,"10 14, 2015",A53KK21JET63V,B00DX5D49S,{'Capacity:': ' 64 GB'},jelly376,Works great with DSLR camera !,Five Stars,1444780800,
133577,1,,True,"05 6, 2013",A37CK7C92VHTCY,B00007FGU7,{'Length:': ' 1.5 Feet'},David,"It's really if you just need to go an extra couple inches or feet, so if you need a long audio extender, this isn't what you're looking for. For short ranges though, definitely the way to go.","No Problems, Definitely Works Well",1367798400,
1982792,1,,True,"01 9, 2015",A1QH07S3LNLK6J,B004VC8M3K,,Patrick Allen,"I got this on a whim, and I am glad I did. I used it for a family video on a rainy day, It clearly lit up the day.",and I am glad I did,1420761600,
