,overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
6099714,3,,False,"02 9, 2017",AJQXS5OA9M4W8,B01HJDNL60,,svkru,"This is a nice compact camera. I am very impressed with the quality of the video it records. But there are some negative moments as well.
Pros:
- compact size
- has a metal frame, not plastic
- stable during high and low temperatures. Just have not tried it during our hottest summer month.
- it records nice quality videos during day time.
- pictures are usable too
- great function to save currently recorded video without been in accident yourself. This one is useful, when accident happened without your involvement. Those kind of videos are helpful when you were a witness and are willing to help someone else.
- cord is very long and more than enough to go around the dash board to hide it.
- cigarette lighter plug will stay in no matter what. Well made.
- cigarette lighter plug has additional USB input, which is a nice feature, so you can use it for cell phone charger
- great idea about connecting the mount to the power instead of camera itself. With this one you basically mount your camera and don't have to deal with the cord itself, it's already plugged in to the mount.
- box, that came with this camera is professionally made and looks like a high quality product.
- customer services is relatively responsive if you have any questions.

Cons:
- A lock on the mount, which also serves as power cord connector, fell apart at first use. It is easy to put it back together, but should of been made better for the price
- Suction cup is not holding well, I had to purchase suction cup buddy to make it work. That's additional $3-6.
- Video looks like you are watching through the fish eye. Kind of weird feeling.
- >>>>> !!! GPS function requires additional attachment purchased separately. This is a huge disqualifying minus!!! <<<<<
- Green lights are blue on the video. Most white lights are blue as well.
- No memory cards included.
- Camera comes with installed system which is not upgraded to the latest available. After reading many feedbacks about camera failing as the result of updates, I decided not to play with it at all. Will rather use it as is  as it is usable.
- Night video recording is not so good. You can see some cars, some objects, but car numbers, colors and most other details are not visible in most cases. In case of the accident this video will help only to see who is at fault. And if it's not you, I doubt that insurance or police will be able to find the other one involved, if they diapered from the place, especially if you are going to use it during night time to record movements around your car.
- This camera is ok for $80-120, but not for $199.

As the result: for the front I decided to use an other dash camera because this one has a lower quality of the night time video than it's competitor. But this one will be used as the camera facing the back of my car, to record all the cars behind my vehicle. It is great for that!","Its ok, usable and functional",1486598400,
6099715,5,,False,"02 8, 2017",A2D44C448RSL1Z,B01HJDNL60,,Paul E. Seals,"Quick and Easy Review: Great, small, inexpensive dash cam!
Works very well.",Quick and Easy Review,1486512000,
6099716,3,,False,"01 23, 2017",A3EA05WBET0MZ0,B01HJDNL60,,angry_dork,"I wish I can give this 5 stars, but a few weeks after I purchased it, they suddenly went on sale for $25 dollars less and it's pissing me off.

As for the product itself, the product feel high quality, hard textured plastic or actual steel I'm not sure.  Software is cleaner than your average Chinese made and bought dashcams.  power connector from the mount is a great idea, but unfortunately it compromises the stiffness of the joint connecting the camera with the mount; the camera will move forward if you stop hard enough, imagine it with a frontal collision.

Night shots are really not that great, drive through a highway lit up by LED lamp posts and you can only see things in front of you that are directly lit up by your headlight.  At least you can see the plate of the car in front.

Inserting the SDcard was a nightmare, your fingernails are not enough, had to use a butterknife to push it in.

So yeah, it's ok, but after the price slash I really regretted buying this.",Price cut after I bought it,1485129600,
6099717,3,,False,"12 19, 2016",A1ZIFRDUDLZUVN,B01HJDNL60,,KTran,"this cam would be better if priced at $40, I am using a vantrue r2 right now and happy with it.",this cam would be better if priced at $40,1482105600,
6099718,5,,True,"12 9, 2016",A3URSOXM8AYOL5,B01HJDNL60,,Chris H,Great little dash cam.,Five Stars,1481241600,
6099719,4,,True,"12 6, 2016",A3G5T7P5D2LFHR,B01HJDNL60,,King Ed.,"Great picture, confusing options, I can never remember what the buttons do, and yes, I refuse to read the manual.","Great picture, confusing options",1480982400,
6099720,1,,False,"11 30, 2016",A13SGU9BCA6PHH,B01HJDNL60,,DB,worked for 2 weeks then never got power after that. Began to do research and this model is a Chinese Dashcam you can buy these things for $25 on sites like wish.com ..... this is a paper weight now .... going to contact customer service and report back if they can replace the dash cam.,Stopped working after 2 weeks,1480464000,
6099721,5,,False,"10 20, 2016",A386OZ9945REPE,B01HJDNL60,,Staetik,"After trying several non branded and lower end dash cams off eBay I got an email to try this Can true model. The install was a breeze. The camera setup was easy. The picture is awesome. Mic seems a little low.

The parking mode is the best thing about this camera. And the way they have two places to supply power I can use an external battery pack that I used for my cell phone.

Customer service is stellar as well. After my purchase and setup of the camera I got a follow-up email from Vantrue informing me of a firmware update with instructions. I feel this company stands behind their products.","Finally, a quality dash cam at an affordable price.",1476921600,
6099722,1,2,True,"10 15, 2016",A3LG2RIP46V797,B01HJDNL60,,Will,"Garbage, microSim card readed broke on first incertion. No web site for returns, now I am stuck with $100 of junk. DO NOT BUY

Took longer than the 30 day Amazon return wondow to get the camera and base.",Cheap Junk...no return web site,1476489600,
6099723,1,3,True,"10 7, 2016",A28HAJMP2SDN4E,B01HJDNL60,,Anonymous,"I originally gave this product three stars (handy camera, lousy mount), but now it's down to zero because of a nasty defect that eventually all of you will run into: after a few months of use, the battery will no longer hold a charge; at that point the date will automatically reset; and at that point loop recording won't work anymore.  So you'll end up with a dash cam that won't store recordings (and will stamp the wrong date on whatever it DOES record).

A few other users have reported the same problem.  Eventually it will happen to everyone.","battery will wear out, and then say bye-bye to loop recording",1475798400,
6099724,2,,True,"09 26, 2016",A1SADKE9RN0A9K,B01HJDNL60,,Andrei,The pivot mount is terrible. Because of the hot weather it becomes loose.,Bad,1474848000,
6099725,4,4,True,"09 13, 2016",A2OE3JGKHQZ09,B01HJDNL60,,Rated True,"The Vantrue N1 does exactly what I need it to do, which is create a clear digital recording of what I see. The cam is compact and has features that I didn't even know I wanted, such as time stamping, speed stamping, GPS capability, car (tag) number stamping, etc. It records at a bitrate of about 12000 at 1920x1080p. The video is clear but 1080p looks more like DVD quality than full HD. Therefore, I use 720p. However, I found out that the interior of my windshield had a thin greasy film that I couldn't really notice which caused taillights and headlights to blur excessively. Once I clean it, it helped. The screen does turn off but mine will turn back on ever so often which is annoying at night. I don't know if it's just mine or it really does that. Also, I have the loop recording set for 10 minutes but all of my files are not 10 minutes long. So far I have recorded 86 files and only 12 are 10 minutes. I don't have the GPS module so I cannot comment on that. Since I don't have anything new to add that other reviewers haven't covered, I'll write about things that have already been said.
. I didn't have a problem with the SD card but it is somewhat challenging to insert and remove it as it sits rather deep into the device, But I kind of like that. I don't want it to be really easy to remove.
. The battery only lasts a short amount of time. It would be nice not to have to use external power and hide cables but it would probably cause the cam to be larger if it did have a long life battery. Also, the USB cable plugs into the bottom of the cam. It would be better on the side.
. It can heat up a bit but no cause for alarm.
. Easy to get started using. It's literally: remove from box, insert SD card, mount in car, plug in... done.",The video is clear but 1080p looks more like DVD quality than full HD,1473724800,"['https://images-na.ssl-images-amazon.com/images/I/61Mj-No5MPL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61Cd16oCyhL._SY88.jpg']"
6099726,5,,False,"08 9, 2016",A2RB7YNZI77ZY3,B01HJDNL60,,James C. Lin,"I have used several different dash cams before and this one is just great.  I initially put a 64GB micro SD card in and the unit does not recognize it until I put a 32GB one in.  So, it seems to be true that it only supports up to 32GB.  Perhaps due to the new firmware, the location of the GPS radar icon is actually on the right hand side of the screen instead of the left as the manual described.  The size of N1 is really small compare to my other cams.  I think the parking feature is great except you just need to use another power source after you park your car.  A portable battery will be just fine.  Emergency lock, IR LED light, and parking features are something I just don't have in all my previously used ones.

I haven't tried the viewer program and I need to explore it just to see how the GPS coordinates can be used in the presentation.  Also, I wonder if the unit can handle high outside temperature as recently been the case in Southern California.

No matter what, I love this little and powerful dash cam!",A Wonderful Little But Powerful Dash Cam,1470700800,
6099727,4,,True,"02 22, 2017",A23YUNQ379QVO7,B01HJDR9DQ,{'Color:': ' 2PCS BT17333 Batteries'},DA,Good Value,Good Value,1487721600,
6099728,4,,True,"06 6, 2018",A2HEUG9KBZL6KA,B01HJDR9DQ,{'Color:': ' 2PCS BT17333 Batteries'},Mike T,Worked as specified.,Four Stars,1528243200,
6099729,5,,True,"02 26, 2018",A3EKPQO4POAPU3,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},Edwin,good for the price (new),Five Stars,1519603200,
6099730,5,,True,"12 17, 2017",AVNKQTSR7XQEM,B01HJDR9DQ,{'Color:': ' 2PCS BT17333 Batteries'},John ,Just what I needed.  They worked fine.,They worked fine.,1513468800,
6099731,5,,True,"11 13, 2017",A1NXDUJO1Z34XB,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},sirreal,Works great in an old product bringing it back to life!,All is as it is promised,1510531200,
6099732,5,,True,"11 8, 2017",A1EXI7TY9Z1EYC,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},David B. Walker,as advertised,Five Stars,1510099200,
6099733,5,,True,"11 2, 2017",APPYQ6TGZ1TL2,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},Rogerkk,Perfect replacement for a radio shack cordless phone,Perfect fit,1509580800,
6099734,5,,True,"09 3, 2017",A326TNIVNWX4BE,B01HJDR9DQ,{'Color:': ' 2PCS BT17333 Batteries'},Tina Long,Love it!  Works great Fast Delivery! Will buy from again!,Love it! Works great Fast Delivery,1504396800,
6099735,1,,True,"08 29, 2017",A39H5O2CTIEOY7,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},Greg U,Did not work.,One Star,1503964800,
6099736,5,,True,"08 29, 2017",AVX2V3OURMXFS,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},Natrium,Fits perfectly and works fine.,Five Stars,1503964800,
6099737,5,,True,"07 9, 2017",A27HHN6IZ08M7M,B01HJDR9DQ,{'Color:': ' 1PCS BT17333 Battery'},george crenshaw,"Arrived as promised, was surprised with lt being a Sunday. The battery worked in my phone as like lt was supposed to. The price was FAR lower than Walmarts. I also appreciated the advice I was emailed concerning letting a new battery run down, lf anything changes l will update the review.",Phone ls up and running.,1499558400,
6099738,5,,True,"06 27, 2017",A2J190F2F2D3L7,B01HJDR9DQ,{'Color:': ' 2PCS BT17333 Batteries'},james hutchisson,Batteries fit into the phone and work well.,Batteries Work Well,1498521600,
6099739,5,,True,"06 14, 2017",A3VV118DH6R7E8,B01HJDR9DQ,{'Color:': ' 2PCS BT17333 Batteries'},Gary S Martin,So far so good.,So far so good.,1497398400,
6099740,5,,True,"07 24, 2017",A1IBXJFABH69FL,B01HJFFHTC,,Chris,Works great,Works great,1500854400,
6099741,3,,True,"07 20, 2017",AALBS2HPW6KBD,B01HJFFHTC,,Mischele,"Great for listening to music via Bluetooth... I can hear phone calls OK, but callers can't hear me very well (echo)... As far as using the buttons to answer a call or hang up - forget it... Extremely bad integration, I tried on HTC M8 and HTC M10 phones... I'll keep it because it's great when I am PARKED and TALKING on the phone which I would suggest to ALL distracted drivers out there !",Great BASIC unit for the price.,1500508800,
6099742,1,,True,"06 23, 2017",A24CFK31TZ0F5J,B01HJFFHTC,,Robert,Waste of money........,One Star,1498176000,
6099743,3,,True,"04 4, 2017",A2N3ISF7A9U0UZ,B01HJFFHTC,,atenleggedninja,Stopped working after 6 months.,Three Stars,1491264000,
6099744,5,,True,"02 9, 2017",A1BZPVWOS4GDVL,B01HJFFHTC,,Manny,Works great. Easy sync with phone. Convenient magnetized mount with adhesive backing makes for easy removal when not in use. Little to no distortion when actually using with phone or playing music. Would definitely buy again.,Great Product and Well Worth Price,1486598400,
6099745,4,,True,"02 9, 2017",AT1XSCNUDKTS1,B01HJFFHTC,,govsux,worked very well no problems,Four Stars,1486598400,
6099746,5,,True,"02 3, 2017",A36HXT852VFAHR,B01HJFFHTC,,David Harper,Worked great but tape to secure magnetic base failed. A bit of silicone solved that issue,Five Stars,1486080000,
6099747,3,,True,"01 29, 2017",A36N0EGNP3JKZO,B01HJFFHTC,,D. Subba,"Best FM transmitter, Bluetooth audio is the best, loud and clear. Just died after months of use, but will buy one again since nothing else matches the quality of this product.
Update 02/16/2017
The second unit I ordered is extremely noisy and sensitive, sending it back. Seller is unresponsive so taking back two stars from original review.",Dead but still in love,1485648000,
6099748,3,,True,"01 25, 2017",AFHS1HQO93SSH,B01HJFFHTC,,FJ,"staticky during silence part of songs. Decent MP3 player, no fast forward, no random play. Only able to skip to next/previous song. unless you are using bluetooth with other mp3 players.",staticky during silence part of songs. Decent MP3 player ...,1485302400,
6099749,4,3,True,"01 7, 2017",A1HN6ELWJ53Y6Q,B01HJFFHTC,,y2says,"I bought this one after returning another brand that looks just like this.  The other one would cut in and out.  My friend bought this one and he said it works fine for him.  This one works better and like any other FM transmitter, there will always be some kind of static.  Don't expect to be the best of quality.  For the money, it's well worth it and people can hear me quite well when I'm talking to them.",Works Well,1483747200,
6099750,5,,True,"01 5, 2017",A33E1SZF56NUPY,B01HJFFHTC,,Chris M.,"Good sound, and good microphone.",Five Stars,1483574400,
6099751,5,,True,"12 19, 2016",A3NLPSEJ9IKRQN,B01HJFFHTC,,RonC,"Works great!  Though not well promoted, this device also has an internal MP3 player - via a microSD card slot.",Also has internal MP3 player!,1482105600,
6099752,4,,True,"12 8, 2016",A1PCIFSMGCT1PM,B01HJFFHTC,,Rhyph,"I bought this a couple weeks ago and held off doing a review right away to give it some time in use.  I recently purchased a new to me 2002 S500, which has no aux input, and all stock command radio system w/tape, cd changer, nav, etc.  I wanted to get music via bluetooth to the stock radio foremost, and as I was looking over various products, many also have phone call integration of some sorts like this does but I was skeptical.  Since I'm not brave enough to pull apart the dash to put in a hard wired unit yet, I wanted to give something simple in design a try.

So far my expectations have been somewhat exceeded.  The audio quality on calls, which I considered to be a bonus to my primary reason for purchasing this, is surprisingly excellent.  I've made numerous calls over the past two weeks and when I ask people about how I sound, they tell me great!  I basically sound as-if I'm talking directly on the phone (an iPhone 7).  Music plays over bluetooth and also sounds really good, I mostly run iHeart Radio or stuff from my direct playlists.

The only issue I've had is with intermittent radio interference in the form of a little static or hiss here and there.  I'm not sure there is much I can do to prevent it, being in the extremely radio band saturated area of metro Atlanta.  I've tried different positions, high and low, front and back within the confines that the cord will reach, but I've not found a better place.  With the very compact design of this device, I can't imagine they can pack a big transmitter and antenna in to it, but it does very well for it's size in my opinion.  What I have found really helps with the design of this, is the ease of switching stations on the fly.  I normally have found running on something like 88.1 stays extremely clear in my area (NE Atlanta suburbs) until I drive to the south side of the city.  I then have to switch to something like 88.3 and all is well again.  Since this is very easy to do by holding the button for a couple seconds, I don't really have to take my eyes off the road and I'm ok with this.

Over all, a decent little bluetooth transmitter with reasonable sound quality and surprisingly good hands free calling capability.  Since it stopped just short of knocking my socks off, I'm -1 star for the interference but maybe my expectations are a bit too high.  I wouldn't be afraid of buying another.",So far pretty decent!,1481155200,
6099753,4,,True,"12 5, 2016",AOTD6008GFERX,B01HJFFHTC,,Melvin Edgerley,seems to work ok,Four Stars,1480896000,
6099754,5,,True,"11 26, 2016",A1AQ46LHRC0Z16,B01HJFFHTC,,Keith S.,Awesome. Quick and easy setup and long enough cord. Would highly recommond,Five Stars,1480118400,
6099755,4,3,True,"11 5, 2016",A3609IMPDU6U45,B01HJFFHTC,,CyberSOFT Creative,"I bought this for my daughters 04 Sante fe. It does not, obviously, have bluetooth capability. The audio is good. I can hear her pretty well while she is driving. And she likes that she does not have to burn CD after CD. Overall, a great investment. The device connects quickly to her phone. The audible beeps thru the car stereo signals it is connected. A nice touch. The built in USB charger seems to be a quick charger. Added quite a bit of battery life to my phone even on our recent short trip.
If you ask me, I say buy it and enjoy.",Great for my daughter's older car,1478304000,
6099756,5,,True,"11 3, 2016",A228DVFEOJA6GW,B01HJFFHTC,,Daniel Velez Caicedo,"Fits the purpose perfectly. Good reception between it and the radio, clear sound.",Good Product,1478131200,
6099757,4,,True,"10 27, 2016",A3MBH292EL642Q,B01HJFFHTC,,Jerry Ault,wouldn't work in my vehicle..,Four Stars,1477526400,
6099758,5,,True,"10 25, 2016",A3N9CPBQTUHWXP,B01HJFFHTC,,DANIEL PINAL,100% RECOMENDADO,Five Stars,1477353600,
